﻿﻿分类,功能,功能说明,参数位置,参数名称,参数释义,类型,"下
限","上
限","默认
值","参数
单位",备注
Cleaning equipment control,Stop washing in advance,"Online version: Unknown offline version: Function description: When the robot is operating in ""cleaning"" mode, when the task is about to end or pass through the prohibited washing area (carpet area, speed bump area, etc.), the stop_water_distance rice will be stopped in advance, lift_brush_distance to lift the brush plate in advance, lift_squeegee_distance rice to lift the squeegee_distance rice and stop the air suction;",/strategy/device_controller/max_stop_water_distance,Maximum water shutdown distance,Maximum water shutdown distance,double,,,35,,
Cleaning equipment control,Stop washing in advance,"Online version: Unknown offline version: Function description: When the robot is operating in ""cleaning"" mode, when the task is about to end or pass through the prohibited washing area (carpet area, speed bump area, etc.), the stop_water_distance rice will be stopped in advance, lift_brush_distance to lift the brush plate in advance, lift_squeegee_distance rice to lift the squeegee_distance rice and stop the air suction;",/strategy/device_controller/min_stop_water_distance,Minimum water shutdown distance,Minimum water shutdown distance,double,,,30,,
Cleaning equipment control,Delayed stop washing,"Online version: Unknown Offline version: AIO1.5 (replaced by the ""residual water treatment"" function) Function description: When the robot is operating in ""cleaning"" mode, when the navigation to a certain point (maintenance point, charging point, work site) due to supply or alarm trigger, the robot will delay the post_stop_water_distance to shut down the water, delay the post_uplift_brush_distance to lift the brush disk, delay the post_uplift_squeegee_distance to lift the squeegee_distance to stop the air suction;",/strategy/device_controller/post_stop_water_distance,Delayed water shutdown distance,Delayed water shutdown distance,double,,,0,,
Cleaning equipment control,Delayed stop washing,"Online version: Unknown Offline version: AIO1.5 (replaced by the ""residual water treatment"" function) Function description: When the robot is operating in ""cleaning"" mode, when the navigation to a certain point (maintenance point, charging point, work site) due to supply or alarm trigger, the robot will delay the post_stop_water_distance to shut down the water, delay the post_uplift_brush_distance to lift the brush disk, delay the post_uplift_squeegee_distance to lift the squeegee_distance to stop the air suction;",/strategy/device_controller/post_uplift_brush_distance,Delay the distance to lift the brush,Delayed brushing distance,double,,,1,,
Cleaning equipment control,Delayed stop washing,"Online version: Unknown Offline version: AIO1.5 (replaced by the ""residual water treatment"" function) Function description: When the robot is operating in ""cleaning"" mode, when the navigation to a certain point (maintenance point, charging point, work site) due to supply or alarm trigger, the robot will delay the post_stop_water_distance to shut down the water, delay the post_uplift_brush_distance to lift the brush disk, delay the post_uplift_squeegee_distance to lift the squeegee_distance to stop the air suction;",/strategy/device_controller/post_uplift_squeegee_distance,Delayed lifting of squeegee distance,Delayed lifting of squeegee distance,double,,,2,,
Cleaning equipment control,Stop washing in advance,"Online version: Unknown offline version: Function description: When the robot is operating in ""cleaning"" mode, when the task is about to end or pass through the prohibited washing area (carpet area, speed bump area, etc.), the stop_water_distance rice will be stopped in advance, lift_brush_distance to lift the brush plate in advance, lift_squeegee_distance rice to lift the squeegee_distance rice and stop the air suction;",/strategy/device_controller/stop_water_distance,Fixed water shutdown distance,Fixed water shutdown distance,double,,,30,,
Cleaning equipment control,Delayed air suction (old),"Function description: When the robot's manual operation is completed, the robot will delay keep_squeegee_suction to lift the squeegee_suction in seconds, delay keep_squeegee_suction+/keep_suction to turn off the suction;",/device/scrubber/keep_squeegee_suction,Squeegee lift delay time,"Delay lifting squeegee time, T1, unit: seconds",double,0,120,60,,
Cleaning equipment control,Delayed air suction (old),"Online version: Unknown offline version: Function description: When the robot ""cleaning"" mode job stops, delay keep_suction and then lift the squeegee_suction, and delay keep_squeegee_suction to stop the suction; Application scenario: ""When pausing or ending the cleaning task"","" ending the manual job",/device/scrubber/keep_suction,Suction delay shutdown time,"Delay off suction additional time, T2, unit: seconds",double,0,120,30,,
Cleaning equipment control,Delayed suction (new),"Online version: Unknown offline version: Function description: When the robot ""cleaning"" mode operation is stopped, delay keep_suction_new and then lift the squeegee_suction_new and then delay keep_squeegee_suction_new to stop the air suction; Application scenario: ""After the residual water treatment function is over"","","","","",,",/device/scrubber/keep_squeegee_suction_new,Delayed lifting of squeegee time T1 second,,double,0,120,10,,
Cleaning equipment control,Delayed suction (new),,/device/scrubber/keep_suction_new,Delay off suction time T2 seconds (T1 second and then T2 seconds),,double,0,120,5,,
Cleaning equipment control,Priority navigation and water collection,"Online version: AIO1.4 Description Description: Open: Priority navigation to collect water; (Water collection during the process of navigating to a certain point); Close: Priority collection of water in the area; (After the task is over, plan extra paths in the area to collect water)",/device/scrubber/enable_navi_priority_water_collection,Priority navigation water collection switch,,bool,,,FALSE,,
Cleaning equipment control,Whether to lift the equipment in the subtask,"On: Maintain the cleaning mode of the previous subtask between subtasks; Off: Stop cleaning between subtasks, and the end point of the previous subtask will stop washing in advance;",/strategy/device_controller/is_on_device_during_tasks,Navigation device switch between subtasks,true: Turn on the device when navigation between subtasks,bool,,,FALSE,,
Cleaning equipment control,Remaining water treatment,"Online version: AIO1.3 Function Description: When the robot cleaning module is operating, after triggering navigation or the task is over, the water will be stopped immediately after triggering the residual water treatment function, and then go to the process_remaining_water_distance and then lift the squeegee and stop the air suction;",/device/scrubber/process_remaining_water_distance,The required distance for normal water-existing tasks to complete residual water treatment (AIO1.3-AIO1.4 is useless),,double,0,100000,30,,
Cleaning equipment control,Remaining water treatment,https://gaussian.yuque.com/od6ghz/no74yv/cvgbp984f54lq86e?singleDoc#0FBP 《[ROBOTPLAN-7521] 余水二期》,/device/scrubber/independent_water_collection_length,"Independent water collection distance (open air suction, drain water suction)","Application scenario: Go to the waterless task, no work station to collect water in the task area, end the manual washing of the floor to go to the next task",double,0,10000,36,,
Cleaning equipment control,Remaining water treatment,https://gaussian.yuque.com/od6ghz/no74yv/cvgbp984f54lq86e?singleDoc#0FBP 《[ROBOTPLAN-7521] 余水二期》,/device/scrubber/destination_drag_and_collect_water_length,工单,Application scenario: Go to the next water-have task process and return to the workstation process,double,0,10000,100,,
Cleaning configuration class,,https://gaussian.yuque.com/od6ghz/no74yv/pq03ga2mw01patg5?singleDoc# 《AIO 残留水（垃圾）处理方案优化》,/device/scrubber/delay_lift_squeegee_with_water,Delayed stop-wash switch,"Water-existing task: trigger navigation during the task, stop spraying water first and trigger the residual water path planning. If the delayed stop washing switch is turned on, keep the squeegee and air suction working until the work site, navigation ladder point, and non-washing area. Disk dust brushing task: The navigation is triggered during the task. The following dust relief pushing switch is turned on, which will keep the dust relief pushing board lower until the work site, the stairs point, or before passing the prohibited washing area.",bool,,,TRUE,,
Cleaning configuration class,Clean width adaptive,,/device/footprints,Robot appearance,Foottprint for robot configuration,array,,,,,
Cleaning configuration class,Clean width adaptive,,/device/scrubber/brush_type,Brushing type,"0: Disc brush, 1: Roll brush",int,,,0,,
Cleaning configuration class,Clean width adaptive,,/device/scrubber/dust_push_type,Dust push type,"Dust push type 0: Normal dust push, 1: Rolling dust push",int,,,0,,
Cleaning configuration class,Clean width adaptive,,/device/scrubber/squeegee_type,Squeegee type,"Squeegee type 0: Soft glue squeegee, 1: Roller squeegee",int,,,0,,
Cleaning configuration class,Self-applicable cleaning width,https://gaussian.yuque.com/od6ghz/no74yv/txo5rp?singleDoc# 《搭配不同清洁设备的footprint自适应优化》,/device/scrubber/width,NUll,,double,0,1000000,0.46,,
Cleaning configuration class,Self-applicable cleaning width,https://gaussian.yuque.com/od6ghz/no74yv/txo5rp?singleDoc# 《搭配不同清洁设备的footprint自适应优化》,/strategy/area_global_planner/leaf_distance,NUll,,double,,,0.41,,
Others - Software Upgrade,,,/device/scrubber/enable_mcu_debug,Open mcu debugging,"0: off, 1: on",bool,,,FALSE,,
Others - Debugging,,,/device/scrubber/mcu_debug_channel,mcu debug channel,,int,0,255,0,,
other,Safety lock function,Function description: https://gaussian.yuque.com/vhfwq2/zc0zl8/pg1k63x1l8esyz7v,/strategy/iec/force_unleashed,NUll,"In order to ensure the smooth operation of the CE-MD certified version of the machine on site, aio1.2 has made improvements to the special spin and backward of the certified version of the machine 1. Added safety lock switch When the switch is turned off, the spin and backward of the robot will be restricted with the strictest safety requirements strategy/iec/force_unleasheda. It will be imported into production in a process manner, and the switch will be turned off by default. During the trial run after production, this switch needs to be turned on, and this switch needs to be turned off before packaging; b. After the customer unboxing on site, this switch needs to be turned on, which will be imported into the deployment sop",bool,,,,,
other,Safety lock function,,/strategy/iec/PB63327,NUll,,bool,,,,,
other,Save fault data,"For alarms that affect the start of the task and cause the task to be suspended, the logs and packets for this period will be automatically transferred to the /root/error_logs folder. The file naming format of the folder is alarm code and time, and the storage time is 7 days. (If you find that there is no logs and packets for the corresponding address during the alarm period, go to the /root/error_logs directory to find it)",/strategy/chassis/save_error_flag,Fault data storage function switch,"If the fault data storage function switch is turned off, the alarm triggering H4 or above, or the content of the alarm at the mvp level cannot be recorded.",bool,,,TRUE,,
DL-Sensory,Model switch,,/strategy/dl_infer/open_xyf_detect,xfy model,,bool,,,TRUE,,
DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable,NUll,,bool,,,TRUE,,
DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable_freespace_endpoint,NUll,,bool,,,TRUE,,
DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable_garbage_sewage,Stain dirty - Data reflow switch (on if necessary),,bool,,,TRUE,,
DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable_ground_objects_seg,NUll,,bool,,,TRUE,,
DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable_xyf_detect,NUll,,bool,,,TRUE,,
Pot/charge/add drainage,Giving function (one stop and multiple machines),,/strategy/gs_work_station/yield_highest_power_percent,The gift function triggers the maximum power,"When the battery level is higher than this value, automatic charging will no longer be triggered.",double,0,100,,,
Pot/charge/add drainage,Giving function (one stop and multiple machines),,/strategy/gs_work_station/yield_lowest_power_percent,The polite function triggers the minimum battery,Gift occurs only when the power is higher than this value,double,0,100,,,
Pot/charge/add drainage,Giving function (one stop and multiple machines),https://gaussian.yuque.com/od6ghz/no74yv/gg77ut?singleDoc# 《工作站一站多机说明文档》,/strategy/gs_work_station/yield_shared_station_enable,Whether to enable gifts,Whether to enable gifts,bool,,,,,
Pot/charge/add drainage,lora,,/strategy/console/local_lora_addr,Lora address on the robot,Local lora address,string,,,"""LoraAddr_8003""",,
Pot/charge/add drainage,lora appointment function,,/strategy/gs_work_station/lora_connect_range,lora signal coverage,Make an appointment only if the pile navigation is smaller than the configuration,double,1,10000,,,
Pot/charge/add drainage,lora appointment function,"The robot uses Lora to make an appointment workstation before the pile is matched, and then performs a pile after the appointment is made;",/strategy/gs_work_station/need_order,Lora reservation function switch,Does charging point to pile need to make an appointment for lora,bool,,,,,
Pot/charge/add drainage,,,/feature/software/ebable_workstation_abilities,Workstation capability configuration,,bool,,,FALSE,,
Pot/charge/add drainage,Automatic charging,,/strategy/console/auto_charge,Automatic charging,,bool,,,TRUE,,
Pot/charge/add drainage,Automatic charging,,/strategy/console/auto_charge,Automatic charging,,bool,,,TRUE,,
Pot/charge/add drainage,Charge on demand,"When the power is higher than max_battery_with_charge&, the robot believes that the power is fully charged; Function description: https://gaussian.yuque.com/od6ghz/no74yv/dh1lgp?singleDoc# ""Charging on Demand"" https://gaussian.yuque.com/od6ghz/no74yv/yhspkc?singleDoc# ""Introduction to gs_workstation""",/strategy/console/max_battery_with_charge,"After you charge back, you need to charge this power value before you can get out of the pile",Charging limit protection,int,0,100,97,,
Pot/charge/add drainage,Charge on demand,"When the power is higher than max_battery_with_charge&, the robot believes that the power is fully charged; Function description: https://gaussian.yuque.com/od6ghz/no74yv/dh1lgp?singleDoc# ""Charging on Demand"" https://gaussian.yuque.com/od6ghz/no74yv/yhspkc?singleDoc# ""Introduction to gs_workstation""",/strategy/console/max_battery_with_charge,"After you charge back, you need to charge this power value before you can get out of the pile",Charging limit protection,int,0,100,97,,
Pot/charge/add drainage,,,/strategy/gs_work_station/auto_recovery_second,NUll,,int,120,1200,,,
Pot/charge/add drainage,,,/strategy/gs_work_station/check_full_water_delay_time,Check the time delay of water,Check the time delay of water,int,1,120,,,
Pot/charge/add drainage,Charge detection,"Function description: When the robot is charged and the power is lower than check_battery_percent, the power is detected every second of the check_voltage_interval_time. If the power does not increase or decrease, the robot will judge that it is charging abnormally and alert, then withdraw the pile and re-check the pile;",/strategy/gs_work_station/check_voltage_interval_time,Check whether the voltage is abnormal,"When the robot is charging, when the power is less than the configuration threshold, the configured interval time is over. If the power is less than the previous one, the charging is considered abnormal.",int,1,86400,,,
Pot/charge/add drainage,,,/strategy/gs_work_station/clean_water_additional_time,Add water to predict the additional time,Add water to predict the additional time,int,0,86400,,,
Pot/charge/add drainage,,,/strategy/gs_work_station/clean_water_empty_percent,Determine the amount of clear water,Clear water empty water,int,0,100,,,
Pot/charge/add drainage,Add water - clean water quantity detection,,/strategy/gs_work_station/clean_water_full_percent,Determine the full amount of water,Full water,int,0,100,,,
Pot/charge/add drainage,Add water - clean water quantity detection,,/strategy/gs_work_station/clean_water_level_volumes,Each level of the clean water tank,Each level of the clean water tank,array,1,10000,,,
Pot/charge/add drainage,Add water - clean water quantity detection,,/strategy/gs_work_station/clean_water_level_volumes_large,Capacity of each gear of large clear water tank,,array,1,10000,,,
Pot/charge/add drainage,Sewage discharge-sewage quantity detection,,/strategy/gs_work_station/dirty_water_empty_percent,Determine the amount of empty sewage,Workstation discharge threshold,int,0,100,,,
Pot/charge/add drainage,Sewage discharge-sewage quantity detection,,/strategy/gs_work_station/dirty_water_full_percent,Determine the full amount of sewage,Full amount of sewage,int,0,100,,,
Pot/charge/add drainage,Pile-force Pile,,/strategy/gs_work_station/is_force_docking_on,No mandatory pile matching is supported,"When opening:/strategy/gs_work_station/need_order is true, the pile will also be adjusted when you cannot make an appointment with the charging pile/workstation.",bool,,,,,
Pot/charge/add drainage,,,/strategy/gs_work_station/open_lora_check_warning,NUll,,bool,,,,,
Pot/charge/add drainage,,,/strategy/gs_work_station/shout_down_dirty_water_delay,Delay the time to determine the sewage empty after drainage,"After the sewage discharge is over, you can only leave the pile after delaying the configuration time.",int,1,3600,,,
Pot/charge/add drainage,Workstation properties,Workstation properties,/strategy/gs_work_station/waiting_point_enable,Is it supported to wait point?,Is it supported to wait point?,bool,,,,,
Pot/charge/add drainage,,,/strategy/gs_work_station/waste_water_total_time,Sewage tank plus sewage timeout time,Time out of sewage discharge,int,1,86400,,,
Pot/charge/add drainage,,,/strategy/gs_work_station/waste_water_total_time_large,Large sewage tank drain timeout time,,int,1,86400,,,
Pot/charge/add drainage,Workstation properties,On: The robot returns to the charging pile and charges; off: The robot returns to the charging pile and does not charge;,/strategy/gs_work_station/workstation_charge_enable,Enable workstation charging function,,bool,,,,,
Pot/charge/add drainage,,,/strategy/gs_work_station/ws_dirty_water_extra_high_waring_seconds,NUll,,int,1,60,,,
Pot/charge/add drainage,Workstation properties,Function description: One-stop multi-computer function logic: https://gaussian.yuque.com/vhfwq2/mi5d16/pr2xgl#i543D,/strategy/gs_work_station/yield_each_dock_lowest_time,The minimum charging time for each pile is provided,The minimum charging time for each pile is provided,double,,,,,
Pot/charge/add drainage,Battery - Charging,"When the power is lower than low_battery_with_charge%, the robot returns to the supply point (maintenance point, charging point, work site)",/strategy/console/low_battery_with_charge,Trigger low power,Trigger low power,int,0,100,10,,
Pot/charge/add drainage,Battery - Charging,"When the power is lower than low_battery_with_charge%, the robot returns to the supply point (maintenance point, charging point, work site)",/strategy/console/low_battery_with_charge,Trigger low power,Trigger low power,int,0,100,10,,
Pot/charge/add drainage,Battery - Charging,"Function description: When the robot is charged and the power is lower than check_battery_percent, the power is detected every second of the check_voltage_interval_time. If the power does not increase or decrease, the robot will judge that it is charging abnormally and alert, then withdraw the pile and re-check the pile;",/strategy/gs_work_station/check_battery_percent,"When the power is less than a certain threshold, check whether the voltage is abnormal","When the robot is charging, when the power is less than the configuration threshold, the configured interval time is over. If the power is less than the previous one, the charging is considered abnormal.",int,1,99,,,
Pot/charge/add drainage,Workstation-lora,,/strategy/gs_work_station/check_workstation_online_delay_time,Lora communication disconnection delay time,Lora communication disconnection delay time,int,1,3600,,,
Pot/charge/add drainage,Worksite capabilities,"The capability configuration of the work site is 1: Support for charging; no water replenishment and drainage configuration is 6: Support for water replenishment and drainage, no charging configuration is 7: Support for charging, water replenishment and drainage",/strategy/gs_work_station/configed_robot_ability,Robots’ supply capacity on workstations,1 Charge; 2 Add water; 4 Discharge dirt,int,1,2147483647,,,
Pot/charge/add drainage,Add water-proof waterproof function,,/strategy/console/clean_water_full_hotfix_additional_duration,"Anti-swine water - 60% water volume, add water time - small water tank.","When the robot is a large water tank, add water to more than 60%, and then add water to stop adding water at this parameter value;",int,,,50,,
Pot/charge/add drainage,Add water-proof waterproof function,,/strategy/console/clean_water_full_hotfix_additional_duration_large,"Anti-swine water - 60% water volume, add water time - large water tank.","When the robot is a large water tank, add water to more than 60%, and then add water to stop adding water at this parameter value;",int,,,50,,
Pot/charge/add drainage,Add water-proof waterproof function,,/strategy/console/clean_water_full_hotfix_full_percent,50 Water tank not filled strategy (prevent choking) - water level,,int,,,60,,
Pot/charge/add drainage,Add water-proof waterproof function,,/strategy/console/clean_water_full_hotfix_on,Anti-water swelling function switch,,bool,,,FALSE,,
Pot/charge/add drainage,Add water - Limit time limit for adding water,,/strategy/gs_work_station/clean_water_total_time_large,Timeout time for adding water to large clear water tank,"After this time, the water will stop adding.",int,1,86400,,,
Pot/charge/add drainage,Add water - Limit time limit for adding water,,/strategy/gs_work_station/clean_water_total_time,Clean water tank and clean water timeout time,"After this time, the water will stop adding.",int,1,86400,,,
Battery power supply category,Low-L power consumption function,"Function description: If low_power_mode_enable is turned on, there is no timed task in low_power_mode_prohibit_timer, and the robot has been idle for low_power_mode_timer minutes, the robot will perform low function mode; low power function description: https://gaussian.yuque.com/od6ghz/no74yv/yv9vidp23w7s7xya?singleDoc# ""Low Power Consumption Closed Loop Solution""",/strategy/console/low_power_mode_enable,Low-power mode function switch ON/OFF,,bool,,,TRUE,,
Battery power supply category,Low-L power consumption function,"Function description: If low_power_mode_enable is turned on, there is no timed task in low_power_mode_prohibit_timer, and the robot has been idle for low_power_mode_timer minutes, the robot will perform low function mode; low power function description: https://gaussian.yuque.com/od6ghz/no74yv/yv9vidp23w7s7xya?singleDoc# ""Low Power Consumption Closed Loop Solution""",/strategy/console/low_power_mode_prohibit_timer,"N minutes with scheduled task schedule, no low power consumption",,int,10,60,30,,
Battery power supply category,Low-L power consumption function,"Function description: If low_power_mode_enable is turned on, there is no timed task in low_power_mode_prohibit_timer, and the robot has been idle for low_power_mode_timer minutes, the robot will perform low function mode; low power function description: https://gaussian.yuque.com/od6ghz/no74yv/yv9vidp23w7s7xya?singleDoc# ""Low Power Consumption Closed Loop Solution""",/strategy/console/low_power_mode_timer,Idle N minutes into low power configuration (minutes),,int,10,60,30,,
Battery power supply category,Battery - Charging,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/dh1lgp?singleDoc# ""On-demand Charging"" https://gaussian.yuque.com/od6ghz/no74yv/yhspkc?singleDoc# ""Introduction to gs_workstation""",/strategy/console/is_intelligent_charging,On-demand charging function switch,Smart charging switch,bool,,,FALSE,,
Battery power supply category,Battery - Charging,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/dh1lgp?singleDoc# ""On-demand Charging"" https://gaussian.yuque.com/od6ghz/no74yv/yhspkc?singleDoc# ""Introduction to gs_workstation""",/strategy/console/is_intelligent_charging,On-demand charging function switch,Smart charging switch,bool,,,FALSE,,
Battery power supply category,Battery - Manual charging,,/device/charger/enable_manual_charger_check,Enable manual charging detection function,,bool,,,TRUE,,
Battery power supply category,Battery - Manual charging,,/device/charger/manual_charger_check_off_relay_time_thr,NUll,,double,,,10,,
Battery power supply category,Battery - Manual charging,,/device/charger/manual_charger_check_time_thr,NUll,,double,,,7,,
Battery power supply category,Battery-Virtual Power,,/strategy/chassis/virtual_battery/battery_volume,NUll,,double,,,60,,
Battery power supply category,Battery-Virtual Power,,/strategy/chassis/virtual_battery/driver_to_battery_voltage_compensate,NUll,,double,,,-0.381175,,
Battery power supply category,Battery-Virtual Power,,/strategy/chassis/virtual_battery/driver_to_battery_voltage_compensate_when_charging,NUll,,double,,,-0.796869,,
Battery power supply category,Battery-Virtual Power,,/strategy/chassis/virtual_battery/use_virtual_battery,NUll,,bool,,,FALSE,,
Battery power supply category,Power supply-low power shutdown protection,"Function description: When the gs_power_protect/valid parameter is turned on, when the power is lower than dangerous_power_percent, the robot determines whether it is in a safe area. If it is triggered and shuts down; if it is not returned to the safe area; when the power is lower than shut_power_percent, it will directly contact and shut down; https://gaussian.yuque.com/vhfwq2/liysn5/lmclg1wern5hyakc#ZK8P4",/strategy/gs_power_protect/danger_power_percent,Prompt automatic shutdown power threshold,Low with this threshold: Tips,int,5,9,,,
Battery power supply category,Power supply-low power shutdown protection,"Function description: When the gs_power_protect/valid parameter is turned on, when the power is lower than dangerous_power_percent, the robot determines whether it is in a safe area. If it is triggered and shuts down; if it is not returned to the safe area; when the power is lower than shut_power_percent, it will directly contact and shut down; https://gaussian.yuque.com/vhfwq2/liysn5/lmclg1wern5hyakc#ZK8P4",/strategy/gs_power_protect/shut_power_percent,Automatic shutdown power threshold,Low and this threshold: Trigger the automatic shutdown function,int,1,3,,,
Battery power supply category,Power supply-low power shutdown protection,"Function description: When the gs_power_protect/valid parameter is turned on, when the power is lower than dangerous_power_percent, the robot determines whether it is in a safe area. If it is triggered and shuts down; if it is not returned to the safe area; when the power is lower than shut_power_percent, it will directly contact and shut down; https://gaussian.yuque.com/vhfwq2/liysn5/lmclg1wern5hyakc#ZK8P4",/strategy/gs_power_protect/valid,Low power automatic shutdown function switch,Turn on: Use the automatic shutdown function with low power,bool,,,,,
Battery power supply category,Power supply-overcurrent protection,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/pghyd3loh6oqp43t?singleDoc# ""S-line overcurrent protection development document"" https://gaussian.yuque.com/od6ghz/no74yv/rwgqosz1dgdteaty?singleDoc# ""M-line-overcurrent protection development document""",/strategy/chassis/overcurrent_protect/enable_battery_disconnection_relay_off,Battery communication after disconnection,,bool,,,TRUE,,
Battery power supply category,Power supply-overcurrent protection,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/pghyd3loh6oqp43t?singleDoc# ""S-line overcurrent protection development document"" https://gaussian.yuque.com/od6ghz/no74yv/rwgqosz1dgdteaty?singleDoc# ""M-line-overcurrent protection development document""",/strategy/chassis/overcurrent_protect/enable_current_monitor,Turn on the current monitoring function switch of the whole machine,,bool,,,TRUE,,
Battery power supply category,Power supply-overcurrent protection,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/pghyd3loh6oqp43t?singleDoc# ""S-line overcurrent protection development document"" https://gaussian.yuque.com/od6ghz/no74yv/rwgqosz1dgdteaty?singleDoc# ""M-line-overcurrent protection development document""",/strategy/chassis/overcurrent_protect/enable_overheating_relay_off,Disconnect the relay after the air suction motor is overtempered,,bool,,,TRUE,,
Battery power supply category,Power supply-overcurrent protection,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/pghyd3loh6oqp43t?singleDoc# ""S-line overcurrent protection development document"" https://gaussian.yuque.com/od6ghz/no74yv/rwgqosz1dgdteaty?singleDoc# ""M-line-overcurrent protection development document""",/strategy/chassis/overcurrent_protect/vacuum_motor_speed_threshold,Wind suction motor speed threshold,,int,45000,500000,50000,,
Battery power supply category,Virtual power and real power,Use battery feedback information,/device/battery/use_real_electricity,Use real power,Battery charge with battery feedback Green: Use real charge; Gray: Don't use real charge,bool,,,TRUE,,
Battery power supply category,Virtual power and real power,Calculate the battery power based on the detected battery voltage;,/device/battery/use_voltage_level,Use analog power,Fake power (calculated based on voltage) Green: Use analog power; gray: Don't use analog power,bool,,,FALSE,,
Battery power supply category,Virtual power and real power,Calculate the battery power based on the detected battery voltage;,/device/battery/voltage_level,Correlationship between analog power and battery voltage,Calculate the analog power based on the battery voltage.,string,,,"""23.0,23.3,23.6,23.9,24.2,24.5,24.8,25.1,25.4,25.7,26.0""",,
地图,,,/move_base/global_costmap/update_laser_3d/laser_3d_sensor/max_obstacle_height,The highest marking height of 3D laser is adjusted according to the height of the vehicle,Generally not changed,double,,,,,
地图,,,/move_base/global_costmap/update_ultra/check_marker_radius,NUll,,double,,,,,
地图,,,/move_base/global_costmap/update_ultra/use_filter,NUll,,bool,,,,,
地图,,,/move_base/global_costmap/update_ultra/use_predict,NUll,,bool,,,,,
地图,Expansion distance,,/strategy/coamap_2d/inscribed_radius,Expanded incision radius,,double,,,0.351,,
地图,Obstacle marking,,/move_base/global_costmap/not_decrease,costmap permanent mark switch,true to open the permanent marker false means close,bool,,,TRUE,,
传感器,Flat laser filtering,,/strategy/scan_filters/glass_filter_status,Flat laser glass filter function switch,"Some models with flat lasers are drawn, and the filtering near the area is strengthened.",bool,,,,,
Sensor-ultrasound,The order in which the lower computer accesses this ultrasound,,/device/ultrasonic/ultrasonic0/mcu_access_precedence,超声0,The order in which the lower computer accesses this ultrasound,int,0,7,2,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic0/screened,Ultrasonic 0 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,FALSE,,
Sensor-ultrasound,The order in which the lower computer accesses this ultrasound,,/device/ultrasonic/ultrasonic1/mcu_access_precedence,超声1,The order in which the lower computer accesses this ultrasound,int,0,7,1,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic1/screened,Ultrasonic 1 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,FALSE,,
Sensor-ultrasound,The order in which the lower computer accesses this ultrasound,,/device/ultrasonic/ultrasonic2/mcu_access_precedence,超声2,The order in which the lower computer accesses this ultrasound,int,0,7,4,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic2/screened,Ultrasonic 2 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,FALSE,,
Sensor-ultrasound,The order in which the lower computer accesses this ultrasound,,/device/ultrasonic/ultrasonic3/mcu_access_precedence,超声3,The order in which the lower computer accesses this ultrasound,int,0,7,3,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic3/screened,Ultrasonic 3 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,FALSE,,
Sensor-ultrasound,The order in which the lower computer accesses this ultrasound,,/device/ultrasonic/ultrasonic4/mcu_access_precedence,超声4,The order in which the lower computer accesses this ultrasound,int,0,7,0,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic4/screened,Ultrasonic 4 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,FALSE,,
Sensor-ultrasound,The order in which the lower computer accesses this ultrasound,,/device/ultrasonic/ultrasonic5/mcu_access_precedence,超声5,The order in which the lower computer accesses this ultrasound,int,0,7,5,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic5/screened,Ultrasonic 5 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,FALSE,,
Sensor-Anti-collision,Sensor-Anti-collision bar,,/device/protector/protector_voltage_limit,Minimum effective voltage value mV for air pressure sensor,,int,0,5000,420,,
