1参数位置和名称,2分类1,3分类2,4参数中文名称,5参数释义,6功能分类1,7功能分类2,8功能说明
/strategy/iec/PB63327,,,NUll,,其它,安全锁功能,
/device/scrubber/software_control_filter_motor,,,软件控制过滤,是否软件控制过滤,其它,,
/strategy/chassis/industry_certification,Chassis,,工业认证开关,该参数打开后限制两后轮后退速度小于0.3,其它,,
/device/scrubber/mcu_debug_channel,Device,scrubber,mcu调试频道,,其它-调试,,
/device/OTA/ota_cmd_time,,,每个ota请求持续ota_cmd_time秒,,其它-软件升级,OTA,
/device/scrubber/enable_mcu_debug,,,打开mcu调试,"0: off, 1: on",其它-软件升级,,
/sensor/compensate_light/compensate_flag,,,NUll,,其它设备控制,灯光,
/device/scrubber/dredge_pipe_duration,,,管道疏通周期,管道疏通周期 单位：秒,清洁配置类,重度除油,功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5
/strategy/console/oil_point_distance,,,两个油污点之间的距离。，小于这个距离，则无法标记新的油污点,,清洁配置类,重度除油,功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5
/strategy/console/oil_point_limit,,,油污点个数限制,,清洁配置类,重度除油,功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5
/strategy/console/oil_task_limit,,,油污任务数量限制,,清洁配置类,重度除油,功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5
/device/scrubber/vacuum_fan_level_setting,,,吸尘 吸力,,清洁配置类,吸尘清洁配置,
/device/scrubber/vacuum_power_rolling_brush_pressure_level_setting,,,吸尘 清洁压力（强劲）,,清洁配置类,吸尘清洁配置,
/device/scrubber/vacuum_rolling_brush_front_spin_level_setting,,,吸尘 滚刷转速,,清洁配置类,吸尘清洁配置,
/device/scrubber/vacuum_side_brush_spin_level_setting,,,吸尘 边刷转速,,清洁配置类,吸尘清洁配置,
/device/scrubber/vacuum_standard_rolling_brush_pressure_level_setting,,,吸尘 清洁压力（标准）,,清洁配置类,吸尘清洁配置,
/device/scrubber/vacuum_super_rolling_brush_pressure_level_setting,,,吸尘 清洁压力（超强）,,清洁配置类,吸尘清洁配置,
/device/scrubber/wash_fan_level_setting,,,清洗 吸力,,清洁配置类,吸尘清洁配置,
/device/scrubber/clean_power_rolling_brush_pressure_level_setting,,,清扫 清洁压力（强劲）,,清洁配置类,清洗清洁配置,
/device/scrubber/wash_power_rolling_brush_pressure_level_setting,,,清洗 清洁压力（强劲）,,清洁配置类,清洗清洁配置,
/device/scrubber/wash_rolling_brush_front_spin_level_setting,,,清洗 前滚刷转速,,清洁配置类,清洗清洁配置,
/device/scrubber/wash_side_brush_spin_level_setting,,,清洗 边刷转速,,清洁配置类,清洗清洁配置,
/device/scrubber/wash_standard_rolling_brush_pressure_level_setting,,,清洗 清洁压力（标准）,,清洁配置类,清洗清洁配置,
/device/scrubber/wash_super_rolling_brush_pressure_level_setting,,,清洗 清洁压力（超强）,,清洁配置类,清洗清洁配置,
/device/scrubber/wash_water_level_setting,,,清洗 水量,,清洁配置类,清洗清洁配置,
/device/scrubber/clean_rolling_brush_front_spin_level_setting,,,清扫 滚刷转速,,清洁配置类,清扫清洁配置,
/device/scrubber/clean_side_brush_spin_level_setting,,,清扫 边刷转速,,清洁配置类,清扫清洁配置,
/device/scrubber/clean_standard_rolling_brush_pressure_level_setting,,,清扫 清洁压力（标准）,,清洁配置类,清扫清洁配置,
/device/scrubber/clean_super_rolling_brush_pressure_level_setting,,,清扫 清洁压力（超强）,,清洁配置类,清扫清洁配置,
/device/scrubber/dp_power_rolling_brush_pressure_level_setting,,,尘推 清洁压力（强劲）,,清洁配置类,清扫清洁配置,
/device/scrubber/width,,,NUll,,清洁配置类,清洁宽度自适用,https://gaussian.yuque.com/od6ghz/no74yv/txo5rp?singleDoc# 《搭配不同清洁设备的footprint自适应优化》
/strategy/area_global_planner/leaf_distance,,,NUll,,清洁配置类,清洁宽度自适用,https://gaussian.yuque.com/od6ghz/no74yv/txo5rp?singleDoc# 《搭配不同清洁设备的footprint自适应优化》
/device/footprints,Device,flush_nozzle,机器人外形,机器人配置的foottprint,清洁配置类,清洁宽度自适应,
/device/scrubber/brush_type,,,刷盘类型,"0: 盘刷, 1: 滚刷",清洁配置类,清洁宽度自适应,
/device/scrubber/dust_push_type,,,尘推类型,"尘推类型 0: 普通尘推, 1: 滚动尘推",清洁配置类,清洁宽度自适应,
/device/scrubber/squeegee_type,,,吸水扒类型,"吸水扒类型 0: 软胶吸水扒, 1: 滚轮吸水扒",清洁配置类,清洁宽度自适应,
/device/scrubber/dp_standard_rolling_brush_pressure_level_setting,,,尘推 清洁压力（标准）,,清洁配置类,尘推清洁配置,
/device/scrubber/dp_super_rolling_brush_pressure_level_setting,,,尘推 清洁压力（超强）,,清洁配置类,尘推清洁配置,
/device/scrubber/dust_push_rolling_brush_front_spin_level_setting,,,尘推 滚刷转速,,清洁配置类,尘推清洁配置,
/device/scrubber/dust_push_side_brush_spin_level_setting,,,尘推 边刷转速,,清洁配置类,尘推清洁配置,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/wiyzp7?singleDoc# 《高仙智导支持S线清洁模式的设备等级配置》
/device/scrubber/clear_water_sensor_num,,,清水箱浮子开关个数,清水箱浮子开关个数,清洁配置类,,
/device/scrubber/delay_lift_squeegee_with_water,,,延迟停洗开关,"有水任务：任务中触发导航，先停喷水并触发余水路径规划，如延迟停洗开关打开，保持吸水扒与吸风工作，直到工作站点、导航乘梯点、禁洗区域前。
盘刷尘推任务：任务中触发导航，如下放尘推板开关打开，会保持下放尘推板，直到工作站点、乘梯点，或者是过禁洗区域前。",清洁配置类,,https://gaussian.yuque.com/od6ghz/no74yv/pq03ga2mw01patg5?singleDoc# 《AIO 残留水（垃圾）处理方案优化》
/device/scrubber/dirty_water_sensor_num,,,污水箱浮子开关个数,污水箱浮子开关个数,清洁配置类,,
/strategy/console/cleaning_mode_switch,,,清洁模式开关,,清洁配置类,,
/strategy/console/non_stop_device,,,"目前不在起作用.
两个路径之间不停设备(家东：现在这个参数控制不了，都是直接由device控制)",,清洁配置类,,已经弃用
/strategy/device_controller/is_on_device_during_tasks,,,子任务间导航设备开关,true: 子任务间导航开启设备,清洁设备控制,子任务内是否抬设备,"打开：子任务之间保持上一个子任务的清洁模式；
关闭：子任务之间停止清洁，上一个子任务终点会提前停洗；"
/device/scrubber/angle_for_enhance_fan_level,,,原地转弯时增强吸风角速度阈值,,清洁设备控制,原地转弯增强吸风,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/yhhxa3?singleDoc# 《S线-增强吸风策略》
/device/scrubber/fan_level_while_rotating,,,转弯时吸风增强,,清洁设备控制,原地转弯增强吸风,
/device/scrubber/linear_speed_for_enhance_fan_level,,,原地转弯增强吸风的线速度,,清洁设备控制,原地转弯增强吸风,
/device/scrubber/manual_process_water_distance,,,手动模式余水处理距离,,清洁设备控制,余水处理（手动）,
/device/scrubber/manual_process_water_time,,,手动模式余水处理时间,,清洁设备控制,余水处理（手动）,
/device/scrubber/destination_drag_and_collect_water_length,,,工单,应用场景：前往下个有水任务过程、返回工作站过程中,清洁设备控制,余水处理,https://gaussian.yuque.com/od6ghz/no74yv/cvgbp984f54lq86e?singleDoc#0FBP 《[ROBOTPLAN-7521] 余水二期》
/device/scrubber/independent_water_collection_length,,,独立收水距离（开吸风放吸水 扒）,应用场景：前往下无水任务过程中、无工作站在任务区域收水、结束手动洗地前往下个任务过程中,清洁设备控制,余水处理,https://gaussian.yuque.com/od6ghz/no74yv/cvgbp984f54lq86e?singleDoc#0FBP 《[ROBOTPLAN-7521] 余水二期》
/strategy/clean_device_control/traveled_length_threshold,,,余水处理距离（AIO1.1版本不再使用）,,清洁设备控制,余水处理,已经弃用；
/device/scrubber/process_remaining_water_distance,,,正常有水任务完成余水处理的所需距离（AIO1.3-AIO1.4没有用了）,,清洁设备控制,余水处理,"上线版本：AIO1.3
功能描述：机器人清洗模块作业时，因触发导航或者任务结束时，触发余水处理功能后，马上停水，然后再走process_remaining_water_distance实后再抬起吸水扒与停止吸风；"
/device/scrubber/enable_navi_priority_water_collection,,,优先导航收水开关,,清洁设备控制,优先导航收水,"上线版本：AIO1.4
描述描述：打开：优先导航收水；（导航到某点的的过程中收水）；关闭：优先区域收水；（任务结束后，在区域内再规划多余的路径进行收水）"
/device/scrubber/keep_squeegee_suction_new,,,延迟抬吸水扒时间 T1 秒,,清洁设备控制,延迟吸风（新）,"上线版本：未知
下线版本：
功能描述：机器人""清洗""模式作业停止时，延迟keep_suction_new再抬起吸水扒，再延迟keep_squeegee_suction_new停止吸风；
应用场景：""余水处理功能结束后"","""","""","""","""""
/device/scrubber/keep_suction_new,,,延迟关吸风时间 T2 秒（T1秒后再加T2秒）,,清洁设备控制,延迟吸风（新）,
/device/scrubber/keep_squeegee_suction,Device,scrubber,吸水扒抬升延迟时间,延时抬吸水扒时间，T1，单位：秒,清洁设备控制,延迟吸风（旧）,功能说明：当机器人手动作业结束后，机器人会延迟keep_squeegee_suction秒抬吸水扒，延迟keep_squeegee_suction+/keep_suction 关闭吸风；
/device/scrubber/keep_suction,Device,scrubber,吸风延迟关闭时间,延时关吸风附加时间，T2，单位：秒,清洁设备控制,延迟吸风（旧）,"上线版本：未知
下线版本：
功能描述：机器人""清洗""模式作业停止时，延迟keep_suction再抬起吸水扒，再延迟keep_squeegee_suction停止吸风；
应用场景：""暂停或结束清洗任务时"",""结束手动作业 任务时"""
/strategy/device_controller/post_stop_water_distance,,,延迟停水距离,延迟停水距离,清洁设备控制,延迟停洗,"上线版本：未知 
下线版本：AIO1.5（被""余水处理"" 功能替代） 
功能描述：机器人""清洗""模式作业时，因补给或告警触发导航至某点（维护点、充电点、工作站点）时，机器人会延迟post_stop_water_distance米停水，延迟post_uplift_brush_distance抬刷盘，延迟post_uplift_squeegee_distance抬吸水扒与停止吸风；"
/strategy/device_controller/post_uplift_brush_distance,Device_controller,,延迟抬刷盘的距离,延迟抬刷盘距离,清洁设备控制,延迟停洗,"上线版本：未知 
下线版本：AIO1.5（被""余水处理"" 功能替代） 
功能描述：机器人""清洗""模式作业时，因补给或告警触发导航至某点（维护点、充电点、工作站点）时，机器人会延迟post_stop_water_distance米停水，延迟post_uplift_brush_distance抬刷盘，延迟post_uplift_squeegee_distance抬吸水扒与停止吸风；"
/strategy/device_controller/post_uplift_squeegee_distance,,,延迟抬吸水扒距离,延迟抬吸水扒距离,清洁设备控制,延迟停洗,"上线版本：未知 
下线版本：AIO1.5（被""余水处理"" 功能替代） 
功能描述：机器人""清洗""模式作业时，因补给或告警触发导航至某点（维护点、充电点、工作站点）时，机器人会延迟post_stop_water_distance米停水，延迟post_uplift_brush_distance抬刷盘，延迟post_uplift_squeegee_distance抬吸水扒与停止吸风；"
/device/scrubber/max_sewage_percent_daily_clear,,,允许日清的最大污水量,,清洁设备控制,吸水日清,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/bn70xz3gg7nmri4u?singleDoc# 《75一键吸水日清》
/device/scrubber/water_cir_daily_clear_countdown,,,吸水日清倒计时,,清洁设备控制,吸水日清,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/bn70xz3gg7nmri4u?singleDoc# 《75一键吸水日清》
/device/scrubber/water_cir_daily_clear_duration,,,吸水日清持续时间,,清洁设备控制,吸水日清,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/bn70xz3gg7nmri4u?singleDoc# 《75一键吸水日清》
/strategy/device_controller/is_fixed_water_distance,,,固定停水距离开关,true:使用固定停水距离(stop_water_distance),清洁设备控制,提前停洗,"上线版本：未知
下线版本：
功能描述：机器人""清洗""模式作业时，因任务要结束或要经过禁洗区域（地毯区域，减速带区域等）时，会提前stop_water_distance米停水， 提前lift_brush_distance抬刷盘，提前lift_squeegee_distance米抬吸水扒与停止吸风；"
/strategy/device_controller/lift_brush_distance,Device_controller,,提前抬刷盘距离,提前抬刷盘的距离,清洁设备控制,提前停洗,"上线版本：未知
下线版本：
功能描述：机器人""清洗""模式作业时，因任务要结束或要经过禁洗区域（地毯区域，减速带区域等）时，会提前stop_water_distance米停水， 提前lift_brush_distance抬刷盘，提前lift_squeegee_distance米抬吸水扒与停止吸风；"
/strategy/device_controller/lift_squeegee_distance,Device_controller,,提前抬吸水扒的距离,提前抬吸水扒距离,清洁设备控制,提前停洗,"上线版本：未知
下线版本：
功能描述：机器人""清洗""模式作业时，因任务要结束或要经过禁洗区域（地毯区域，减速带区域等）时，会提前stop_water_distance米停水， 提前lift_brush_distance抬刷盘，提前lift_squeegee_distance米抬吸水扒与停止吸风；"
/strategy/device_controller/max_stop_water_distance,Device_controller,,最大停水距离,最大停水距离,清洁设备控制,提前停洗,"上线版本：未知
下线版本：
功能描述：机器人""清洗""模式作业时，因任务要结束或要经过禁洗区域（地毯区域，减速带区域等）时，会提前stop_water_distance米停水， 提前lift_brush_distance抬刷盘，提前lift_squeegee_distance米抬吸水扒与停止吸风；"
/strategy/device_controller/min_stop_water_distance,Device_controller,,最小停水距离,最小停水距离,清洁设备控制,提前停洗,"上线版本：未知
下线版本：
功能描述：机器人""清洗""模式作业时，因任务要结束或要经过禁洗区域（地毯区域，减速带区域等）时，会提前stop_water_distance米停水， 提前lift_brush_distance抬刷盘，提前lift_squeegee_distance米抬吸水扒与停止吸风；"
/strategy/device_controller/stop_water_distance,,,固定停水距离,固定停水距离,清洁设备控制,提前停洗,"上线版本：未知
下线版本：
功能描述：机器人""清洗""模式作业时，因任务要结束或要经过禁洗区域（地毯区域，减速带区域等）时，会提前stop_water_distance米停水， 提前lift_brush_distance抬刷盘，提前lift_squeegee_distance米抬吸水扒与停止吸风；"
/device/scrubber/delay_pasue_manual_cleaning_time1,,,手动作业中 机器静止延迟停设备时间1,,清洁设备控制,设备延迟停止,"○ 手动作业时，当机器人速度为0（线速度和角速度均为0）时，启动设备延迟停止流程；
○ 当机器人处于延迟停止设备的流程中时，如果检测到机器人的 线速度大于0.1m/s（往前的速度）或者角速度绝对值大于0.2rad/s 时，中断延迟设备流程，恢复正常作业的设备等级；"
/device/scrubber/delay_pasue_manual_cleaning_time2,,,手动作业中 机器静止延迟停设备时间2,,清洁设备控制,设备延迟停止,"○ 手动作业时，当机器人速度为0（线速度和角速度均为0）时，启动设备延迟停止流程；
○ 当机器人处于延迟停止设备的流程中时，如果检测到机器人的 线速度大于0.1m/s（往前的速度）或者角速度绝对值大于0.2rad/s 时，中断延迟设备流程，恢复正常作业的设备等级；"
/device/scrubber/delay_stop_suction_manual_cleaning,,,手动作业中 机器静止延迟停吸风时间,,清洁设备控制,设备延迟停止,"○ 手动作业时，当机器人速度为0（线速度和角速度均为0）时，启动设备延迟停止流程；
○ 当机器人处于延迟停止设备的流程中时，如果检测到机器人的 线速度大于0.1m/s（往前的速度）或者角速度绝对值大于0.2rad/s 时，中断延迟设备流程，恢复正常作业的设备等级；"
/strategy/move_base/wheel_prints_clean,,,开启轮印功能,,清洁设备控制,轮印功能,功能说明：https://gaussian.yuque.com/pnc/yu7uqr/wzsd6s4bt4ghu0ty?singleDoc# 《AIO-1.1 S线轮印动作开启》
/strategy/console/reboot/auto_recovery_duration,,,自动恢复任务超时的时长,,任务类,自动重启恢复任务,
/strategy/console/reboot/checker_reboot_enable,,,NUll,,任务类,自动重启恢复任务,
/strategy/console/reboot/checker_reboot_interval,,,自上次成功触发主动重启后，T时间内不再触发主动重启,,任务类,自动重启恢复任务,
/strategy/console/reboot/no_recovery_duration,,,自上次活着到下次启动时间相关超过T后，则不再恢复任务/导航,,任务类,自动重启恢复任务,
/strategy/console/reboot/no_recovery_interval,,,T间隔内连续异常重启，则不再恢复任务/导航,,任务类,自动重启恢复任务,
/strategy/console/auto_resume_task_sleep_mode_end,Console,OTA,睡眠模式结束后自动恢复任务,,任务类,休息结束自动恢复任务,
/strategy/console/auto_abandon_uncovered_area,,,任务完成后自动放弃未清洁区域,,任务类,未清洁区域,
/strategy/console/unfilled_path_switch,,,自动生成未清扫,,任务类,未清洁区域,
/strategy/console/enable_short_distance_move,,,锁屏时短距离移动功能开关；,,任务类,任务中锁屏时短距离手动移动,
/strategy/console/short_distance_move_length,,,锁屏时短距离移动最大移动距离；,,任务类,任务中锁屏时短距离手动移动,
/strategy/console/area_coefficient,,,效率提升,"功能说明：● 任务报告效率提升比例的参数开放到了APP，默认是实际效率的1.5倍，如有需要可以在APP上更改配置
● 在数据管理->设置->高级设置->策略配置->console->area_coefficient可以进行配置；默认参数是0.5，意思是在原有基础上增大0.5倍；",任务类,任务效率,"功能说明：● 任务报告效率提升比例的参数开放到了APP，默认是实际效率的1.5倍，如有需要可以在APP上更改配置
● 在数据管理->设置->高级设置->策略配置->console->area_coefficient可以进行配置；默认参数是0.5，意思是在原有基础上增大0.5倍；"
/strategy/console/auto_send_task_report,,,任务结束后自动发送任务报告,,任务类,任务结束自动发送任务报告,
/feature/software/enable_coverage_mode,,,覆盖作业偏好功能开关,,任务类,覆盖作业偏好类型,
/strategy/console/default_coverage_mode,,,覆盖作业偏好类型,"standard 标准
efficiency 最大效率
coverage 最大覆盖面",任务类,覆盖作业偏好类型,https://gaussian.yuque.com/crncal/zcbh0x/ig4t2yebrqw22k54?singleDoc#
/strategy/gs_parameter/last_cleaning_efficiency_mode,,,查询当前清洁效率模,记录上一次的模式，高级参数 /strategy/gs_parameter/last_cleaning_efficiency_mode，如果没有则使用standard,任务类,查询当前清洁效率模,
/strategy/console/task_warning_complete_rate,,,任务警告完成率,,任务类,#N/A,
/strategy/console/task_warning_time_interval_1,,,任务警告时间间隔1(任务暂停，长时间无操作的报警),,任务类,#N/A,
/strategy/console/task_warning_time_interval_2,,,任务警告时间间隔2（任务运行，长时间无操作报警）,,任务类,#N/A,
/strategy/console/enable_navigation_between_loop_tasks,Console,,循环任务间隔，是否开启导航去工作站（此功能暂未启用）,,任务类,,
/strategy/console/daily_clean_clear_warning_source,,,NUll,,日清检测,日清检测,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/lua4l34bpoi20kvo?singleDoc# 《机器日清提醒》
/strategy/console/daily_clean_L0,,,NUll,,日清检测,日清检测,
/strategy/console/daily_clean_L2,,,NUll,,日清检测,日清检测,
/strategy/console/daily_clean_remind_level,,,NUll,,日清检测,日清检测,
/strategy/console/daily_clean_trigger_40_dust_pkg_cd,,,NUll,,日清检测,日清检测,
/strategy/console/daily_clean_trigger_40_hepa_cd,,,NUll,,日清检测,日清检测,
/strategy/console/daily_clean_trigger_maintain_cd,,,NUll,,日清检测,日清检测,
/strategy/console/daily_clean_trigger_s_dust_box_cd,,,NUll,,日清检测,日清检测,
/strategy/console/daily_clean_trigger_s_dust_pkg_cd,,,NUll,,日清检测,日清检测,
/strategy/console/daily_clean_trigger_s_rolling_brush_cd,,,NUll,,日清检测,日清检测,
/strategy/console/daily_clean_trigger_s_side_brush_cd,,,NUll,,日清检测,日清检测,
/strategy/console/daily_clean_trigger_s_water_tank_cd,,,NUll,,日清检测,日清检测,
/strategy/console/initialize_with_circle,Console,,转圈初始化,,扫图/定位/初步化,转圈初步化,
/strategy/console/disable_select_point_init,,,隐藏选点定位 功能开关,,扫图/定位/初步化,隐藏选点定位功能,功能描述：https://gaussian.yuque.com/vhfwq2/zc0zl8/ky9rr0bvghbcku6p
/strategy/console/disable_select_point_init_new,,,隐藏选点定位 功能开关,,扫图/定位/初步化,隐藏选点定位功能,
/strategy/console/scan_map_task,,,高仙智导探索建图功能开关,"true代表打开探索建图功能
false代表关闭探索建图功能",扫图/定位/初步化,探索建图功能,
/gaussian_mapping_v5/MAPPING/map_warn_options/linear_speed_threshold,,,机器最大的扫图线速度,限制机器人的最大扫图速度,扫图/定位/初步化,扫图速度限制,"上线版本：
下线版本：
功能描述：扫图时机器人线速度会限制在linear_speed_threshold以内，机器人角速度会限制在angle_speed_threshold以内；"
/gaussian_mapping_v5/MAPPING/map_warn_options/first_mapping_memory_used_threshold,,,提示尽快保存地图的内存占用阈值,超过阈值时，提示请尽快保存地图,扫图/定位/初步化,扫图-内存限制,"上线版本：
下线版本：
功能描述：
当内存占用超过first_mapping_memory_used_threshold时，APP提示请尽快保存地图；
当内存占用超过second_mapping_memory_used_threshold，提示即将强制保存地图告警；
当内存占用超过third_mapping_memory_used_threshold，触发强制保存地图"
/gaussian_mapping_v5/MAPPING/map_warn_options/second_mapping_memory_used_threshold,,,提示即将强制保存地图的内存占用阈值,超过阈值时，提示即将强制保存地图告警,扫图/定位/初步化,扫图-内存限制,"上线版本：
下线版本：
功能描述：
当内存占用超过first_mapping_memory_used_threshold时，APP提示请尽快保存地图；
当内存占用超过second_mapping_memory_used_threshold，提示即将强制保存地图告警；
当内存占用超过third_mapping_memory_used_threshold，触发强制保存地图"
/gaussian_mapping_v5/MAPPING/map_warn_options/third_mapping_memory_used_threshold,,,触发强制保存地图的内存占用阈值,超过阈值时，触发强制保存地图,扫图/定位/初步化,扫图-内存限制,"上线版本：
下线版本：
功能描述：
当内存占用超过first_mapping_memory_used_threshold时，APP提示请尽快保存地图；
当内存占用超过second_mapping_memory_used_threshold，提示即将强制保存地图告警；
当内存占用超过third_mapping_memory_used_threshold，触发强制保存地图"
/gaussian_mapping_v5/MAPPING/map_warn_options/first_mapping_area_ratio_threshold,,,提示尽快保存地图的地图面积阈值,超过阈值时，提示请尽快保存地图,扫图/定位/初步化,扫图-面积限制,
/gaussian_mapping_v5/MAPPING/map_warn_options/max_area_threshold,,,扫图面积限制最大面积,扫图时允许建的面积阈值,扫图/定位/初步化,扫图-面积限制,
/gaussian_mapping_v5/MAPPING/map_warn_options/second_mapping_area_ratio_threshold,,,提示即将强制保存地图的地图面积阈值,超过阈值时，提示即将强制保存地图告警,扫图/定位/初步化,扫图-面积限制,
/gaussian_mapping_v5/MAPPING/map_warn_options/third_mapping_area_ratio_threshold,,,触发强制保存地图的地图面积阈值,超过阈值时，触发强制保存地图,扫图/定位/初步化,扫图-面积限制,
/gaussian_mapping_v5/MAPPING/map_warn_options/angle_speed_threshold,,,机器最大的扫图角速度,限制机器人的最大扫图转弯的角速度,扫图/定位/初步化,扫国速度限制,"上线版本：
下线版本：
功能描述：扫图时机器人线速度会限制在linear_speed_threshold以内，机器人角速度会限制在angle_speed_threshold以内；"
/strategy/console/auto_initialize,Console,motor_driver,开机后自动初始化,,扫图/定位/初步化,开机初步化,
/gaussian_mapping_v5/MAPPING/intensity_options/enable,,,扫图模式下，是否开启反射率地图,true:开启反射率地图false:关闭反射率地图,扫图/定位/初步化,反射率地图,
/gaussian_mapping_v5/MAPPING/TRAJECTORY_BUILDER_2D/enable_height_filter,,,NUll,,扫图/定位/初步化,顶视扫图,"上线版本：
下线版本：
功能描述：扫图时，在TRAJECTORY_BUILDER_2D/min_z 至TRAJECTORY_BUILDER_2D/max_z高度的激光数据会能参与建图；"
/gaussian_mapping_v5/MAPPING/TRAJECTORY_BUILDER_2D/max_z,SLAM,gaussian_mapping_v5,扫图时，激光特征提取的最高高度的阈值,提取max_z高度以下的特征,扫图/定位/初步化,顶视扫图,"上线版本：
下线版本：
功能描述：扫图时，在TRAJECTORY_BUILDER_2D/min_z 至TRAJECTORY_BUILDER_2D/max_z高度的激光数据会能参与建图；"
/gaussian_mapping_v5/MAPPING/TRAJECTORY_BUILDER_2D/min_z,SLAM,gaussian_mapping_v5,扫图时，激光特征提取的最低高度的阈值,提取min_z高度以上的特征,扫图/定位/初步化,顶视扫图,"上线版本：
下线版本：
功能描述：扫图时，在TRAJECTORY_BUILDER_2D/min_z 至TRAJECTORY_BUILDER_2D/max_z高度的激光数据会能参与建图；"
/gaussian_mapping_v5/MAPPING/TRAJECTORY_BUILDER_2D/topview_options/enable,SLAM,gaussian_mapping_v5,扫图时，是否开启顶视功能,true: 开启顶视false: 关闭顶视,扫图/定位/初步化,顶视扫图,"上线版本：
下线版本：
功能描述：扫图时，在TRAJECTORY_BUILDER_2D/min_z 至TRAJECTORY_BUILDER_2D/max_z高度的激光数据会能参与建图；"
/gaussian_mapping_v5/LOCALIZATION/TRAJECTORY_BUILDER_2D/enable_height_filter,,,NUll,,扫图/定位/初步化,顶视定位,"上线版本：
下线版本：
功能描述：定时时，在TRAJECTORY_BUILDER_2D/min_z至TRAJECTORY_BUILDER_2D/max_z高度的激光数据会能参于定位；"
/gaussian_mapping_v5/LOCALIZATION/TRAJECTORY_BUILDER_2D/max_z,SLAM,gaussian_mapping_v5,定位时，顶视特征提取的最低高度的阈值,提取max_z高度以下的特征,扫图/定位/初步化,顶视定位,"上线版本：
下线版本：
功能描述：定时时，在TRAJECTORY_BUILDER_2D/min_z至TRAJECTORY_BUILDER_2D/max_z高度的激光数据会能参于定位；"
/gaussian_mapping_v5/LOCALIZATION/TRAJECTORY_BUILDER_2D/min_z,SLAM,gaussian_mapping_v5,定位时，顶视特征提取的最高高度的阈值,提取min_z高度以上的特征,扫图/定位/初步化,顶视定位,"上线版本：
下线版本：
功能描述：定时时，在TRAJECTORY_BUILDER_2D/min_z至TRAJECTORY_BUILDER_2D/max_z高度的激光数据会能参于定位；"
/gaussian_mapping_v5/LOCALIZATION/TRAJECTORY_BUILDER_2D/topview_options/enable,SLAM,gaussian_mapping_v5,定位时，是否开启顶视功能,,扫图/定位/初步化,顶视定位,"上线版本：
下线版本：
功能描述：定时时，在TRAJECTORY_BUILDER_2D/min_z至TRAJECTORY_BUILDER_2D/max_z高度的激光数据会能参于定位；"
/gaussian_mapping_v5/LOCALIZATION/TRAJECTORY_BUILDER_2D/pure_localization_trimmer/save_submap,,,地图自动更新功能开关,,扫图/定位/初步化,地图自动更新,
/gaussian_mapping_v5/LOCALIZATION/POSE_GRAPH/max_bnb_search_window_reduce_linear_rate,,,搜索窗口膨胀率,当定位状态比较好时，减小匹配的搜索范围，避免超市场景货架无匹配,扫图/定位/初步化,#N/A,
/gaussian_mapping_v5/LOCALIZATION/POSE_GRAPH/multi_hypothesis_constraint_options/trajectory_candidate_options/evaluate_method,,,定位时多假设评估方法,定位时避免错误的定位跳动的评估方式,扫图/定位/初步化,#N/A,
/gaussian_mapping_v5/LOCALIZATION/TRAJECTORY_BUILDER_2D/pure_localization_trimmer/save_submap_sline,,,地图自动更新功能开关,,扫图/定位/初步化,#N/A,
/gaussian_mapping_v5/MAPPING/POSE_GRAPH/constraint_builder/fast_correlative_scan_matcher/max_shortest_path_value,,,当前节点到submap的最短路径最大阈值,扫图时，与搜索已建地图范围的最大阈值,扫图/定位/初步化,#N/A,
/gaussian_mapping_v5/MAPPING/POSE_GRAPH/multi_hypothesis_constraint_options/enable,,,扫图时是否开启多假设评估,超市场景需要再扫图时打开多假设，减少扫图时货架误匹配产生的错误定位跳动,扫图/定位/初步化,#N/A,
/gaussian_mapping_v5/MAPPING/use_cad_map,,,CAD地图,,扫图/定位/初步化,CAD地图,
/edit_map/wall_line/length_threshold,,,墙线的长度阈值,,扫图/定位/初步化,,
/gaussian_mapping_v5/LOCALIZATION/height_filter_threshold,,,NUll,,扫图/定位/初步化,,
/gaussian_mapping_v5/LOCALIZATION/intensity_options/enable,,,暂时未使用，默认关,暂时未使用，默认关,扫图/定位/初步化,,
/gaussian_mapping_v5/LOCALIZATION/localization_update_score_threshold,,,NUll,,扫图/定位/初步化,,
/gaussian_mapping_v5/MAPPING/height_filter_threshold,,,NUll,,扫图/定位/初步化,,
/gaussian_mapping_v5/MAPPING/map_warn_options/no_loop_dis_threshold,,,机器扫图的未闭环距离语音提示的阈值,未闭环距离超过该值，语音提示未闭环,扫图/定位/初步化,,
/gaussian_mapping_v5/MAPPING/POSE_GRAPH/overall_map_manager/merge_type,,,机器扫图时，地图合并方式,机器扫图时，地图合并方式,扫图/定位/初步化,,
